,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
Chronicle FNC,0 1 -1,1 1 +0,,0 1 -1,
kaajak FNC,0 1 -1,,2 0 +2,1 0 +1,0 2 -2
Boaster FNC,1 2 -1,,0 1 -1,1 0 +1,
Alfajer FNC,1 0 +1,0 1 -1,,2 0 +2,0 1 -1
crashies FNC,0 1 -1,,,0 1 -1,
