,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
Chronicle FNC,,,,0 1 -1,1 0 +1
kaajak FNC,1 0 +1,,,1 1 +0,
Boaster FNC,0 1 -1,,0 1 -1,0 1 -1,
Alfajer FNC,1 0 +1,0 2 -2,0 1 -1,2 2 +0,
crashies FNC,,0 2 -2,,,1 1 +0
