,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
Chronicle FNC,0 1 -1,1 1 +0,,2 2 +0,2 0 +2
kaajak FNC,2 1 +1,1 1 +0,2 0 +2,3 2 +1,0 2 -2
Boaster FNC,2 4 -2,,0 2 -2,1 2 -1,
Alfajer FNC,3 0 +3,0 3 -3,1 2 -1,4 2 +2,1 2 -1
crashies FNC,0 1 -1,1 3 -2,,2 1 +1,1 1 +0
