,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
Chronicle FNC,,,,2 0 +2,1 0 +1
kaajak FNC,1 0 +1,1 1 +0,,1 1 +0,
Boaster FNC,1 1 +0,,,0 1 -1,
Alfajer FNC,1 0 +1,,1 1 +0,,1 1 +0
crashies FNC,,1 1 +0,,2 0 +2,
