,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
Chronicle FNC,10 10 +0,12 5 +7,6 9 -3,13 8 +5,12 7 +5
kaajak FNC,14 10 +4,11 11 +0,11 8 +3,12 9 +3,9 9 +0
Boaster FNC,8 11 -3,6 3 +3,7 11 -4,3 10 -7,6 6 +0
Alfajer FNC,5 10 -5,11 10 +1,9 5 +4,8 12 -4,10 7 +3
crashies FNC,2 12 -10,7 6 +1,6 9 -3,8 6 +2,6 8 -2
