,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
Chronicle FNC,3 4 -1,3 1 +2,1 4 -3,10 0 +10,5 1 +4
kaajak FNC,5 4 +1,5 3 +2,5 2 +3,4 2 +2,6 2 +4
Boaster FNC,3 3 +0,1 1 +0,2 3 -1,0 2 -2,2 2 +0
Alfajer FNC,2 1 +1,5 3 +2,5 2 +3,3 2 +1,4 1 +3
crashies FNC,1 4 -3,3 3 +0,3 2 +1,2 0 +2,0 3 -3
