,Alfajer FNC,Derke FNC,hiro FNC,Boaster FNC,Chronicle FNC
valyn G2,3 8 -5,5 7 -2,3 5 -2,4 0 +4,7 8 -1
icy G2,4 11 -7,4 10 -6,2 6 -4,4 0 +4,4 6 -2
trent G2,4 12 -8,5 5 +0,8 6 +2,4 2 +2,2 7 -5
leaf G2,5 9 -4,5 9 -4,5 4 +1,5 5 +0,5 6 -1
JonahP G2,7 4 +3,4 10 -6,4 6 -2,6 5 +1,3 9 -6
