,Alfajer FNC,Derke FNC,hiro FNC,Boaster FNC,Chronicle FNC
valyn G2,0 1 -1,1 0 +1,,1 0 +1,1 2 -1
icy G2,0 3 -3,1 2 -1,1 0 +1,1 0 +1,1 0 +1
trent G2,1 2 -1,,0 2 -2,2 0 +2,
leaf G2,0 4 -4,2 3 -1,,1 0 +1,2 2 +0
JonahP G2,,,1 0 +1,1 0 +1,0 2 -2
