,Alfajer FNC,Derke FNC,hiro FNC,Boaster FNC,Chronicle FNC
valyn G2,0 1 -1,,,,0 1 -1
icy G2,0 3 -3,0 1 -1,,,
trent G2,0 2 -2,,,2 0 +2,
leaf G2,0 3 -3,2 1 +1,,,
JonahP G2,,,,,
