,Alfajer FNC,Derke FNC,hiro FNC,Boaster FNC,Chronicle FNC
valyn G2,1 3 -2,1 2 -1,2 4 -2,1 0 +1,2 3 -1
icy G2,0 6 -6,0 4 -4,0 4 -4,2 0 +2,1 1 +0
trent G2,0 7 -7,2 1 +1,2 2 +0,4 0 +4,1 4 -3
leaf G2,2 6 -4,3 6 -3,1 2 -1,1 1 +0,1 1 +0
JonahP G2,4 2 +2,3 3 +0,2 4 -2,2 2 +0,2 3 -1
