,Ruxic NAVI,ANGE1 NAVI,koalanoob NAVI,hiro NAVI,Shao NAVI
Jamppi BBL,3 6 -3,4 0 +4,5 5 +0,3 0 +3,2 3 -1
PROFEK BBL,4 2 +2,0 3 -3,2 2 +0,2 0 +2,1 6 -5
LewN BBL,5 1 +4,6 3 +3,3 7 -4,2 3 -1,3 2 +1
sociablEE BBL,4 1 +3,6 2 +4,3 3 +0,4 3 +1,3 3 +0
MAGNUM BBL,1 7 -6,3 1 +2,4 2 +2,6 1 +5,3 3 +0
