,Ruxic NAVI,ANGE1 NAVI,koalanoob NAVI,hiro NAVI,Shao NAVI
Jamppi BBL,0 1 -1,0 1 -1,,1 1 +0,
PROFEK BBL,,1 0 +1,0 1 -1,0 2 -2,
LewN BBL,,2 0 +2,1 2 -1,,
sociablEE BBL,,2 0 +2,0 1 -1,0 1 -1,1 0 +1
MAGNUM BBL,2 1 +1,1 0 +1,0 1 -1,,
