,Ruxic NAVI,ANGE1 NAVI,koalanoob NAVI,hiro NAVI,Shao NAVI
Jamppi BBL,6 12 -6,6 3 +3,7 8 -1,5 3 +2,3 4 -1
PROFEK BBL,7 4 +3,5 4 +1,5 6 -1,5 6 -1,4 6 -2
LewN BBL,6 6 +0,13 5 +8,7 11 -4,4 7 -3,6 3 +3
sociablEE BBL,6 3 +3,10 4 +6,7 7 +0,7 8 -1,8 4 +4
MAGNUM BBL,6 10 -4,6 2 +4,7 3 +4,11 8 +3,6 5 +1
