,Ruxic NAVI,ANGE1 NAVI,koalanoob NAVI,hiro NAVI,Shao NAVI
Jamppi BBL,,,2 1 +1,,
PROFEK BBL,,,,,
LewN BBL,1 1 +0,3 1 +2,0 3 -3,1 1 +0,
sociablEE BBL,,2 0 +2,0 1 -1,2 1 +1,
MAGNUM BBL,,1 0 +1,,1 0 +1,
