,Ruxic NAVI,ANGE1 NAVI,koalanoob NAVI,hiro NAVI,Shao NAVI
Jamppi BBL,3 6 -3,2 3 -1,2 3 -1,2 3 -1,1 1 +0
PROFEK BBL,3 2 +1,5 1 +4,3 4 -1,3 6 -3,3 0 +3
LewN BBL,1 5 -4,7 2 +5,4 4 +0,2 4 -2,3 1 +2
sociablEE BBL,2 2 +0,4 2 +2,4 4 +0,3 5 -2,5 1 +4
MAGNUM BBL,5 3 +2,3 1 +2,3 1 +2,5 7 -2,3 2 +1
