,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Munchkin GEN,,2 Round 18 Jemkin xffero Round 19 Monyet Estrella,,,,,,,,,33,1,0
t3xture GEN,,4 Round 3 Kushy Estrella Round 13 xffero Monyet Round 15 Monyet xffero Round 17 xffero Monyet,1 Round 14 Estrella Jemkin xffero,1 Round 16 Jemkin Monyet Estrella Kushy,,,,,,,57,0,1
Foxy9 GEN,,3 Round 11 Jemkin Estrella Round 17 Estrella Jemkin Round 19 Kushy xffero,2 Round 18 Estrella Monyet Kushy Round 21 xffero Monyet Kushy,2 Round 8 Kushy Monyet Jemkin xffero Round 12 Jemkin Estrella xffero Kushy,,,2 Round 17 Jemkin Estrella Round 21 Kushy Monyet,,,,63,2,2
yoman GEN,,,1 Round 3 Jemkin xffero Monyet,,,,,,,,44,4,1
Karon GEN,,1 Round 13 Estrella Jemkin,2 Round 6 Estrella Monyet xffero Round 10 Monyet Kushy xffero,,,,,,,,53,1,0
Kushy RRQ,,4 Round 1 Foxy9 t3xture Round 5 yoman Munchkin Round 16 Munchkin Foxy9 Round 20 Foxy9 Munchkin,1 Round 6 Munchkin Foxy9 Karon,,,1 Round 6 Karon,,,,,56,3,2
xffero RRQ,,1 Round 1 yoman Karon,,,,,,,,,25,1,1
Monyet RRQ,,3 Round 4 yoman Munchkin Round 7 Munchkin Foxy9 Round 21 t3xture Karon,1 Round 9 Foxy9 Karon Munchkin,,,,,,,,52,1,0
Jemkin RRQ,,2 Round 4 t3xture Foxy9 Round 17 t3xture Munchkin,1 Round 2 Munchkin Foxy9 t3xture,,,,,,,,50,0,0
Estrella RRQ,,2 Round 17 Karon yoman Round 20 t3xture Karon,,,,,,,,,44,0,0
