,Kushy RRQ,Monyet RRQ,Estrella RRQ,Jemkin RRQ,xffero RRQ
Foxy9 GEN,1 3 -2,2 3 -1,2 4 -2,6 4 +2,2 3 -1
Munchkin GEN,4 7 -3,2 4 -2,1 2 -1,2 0 +2,4 5 -1
t3xture GEN,2 2 +0,3 2 +1,4 2 +2,0 5 -5,2 6 -4
yoman GEN,2 4 -2,3 5 -2,3 3 +0,3 2 +1,0 1 -1
Karon GEN,1 3 -2,2 3 -1,0 2 -2,2 5 -3,3 1 +2
