,Kushy RRQ,Monyet RRQ,Estrella RRQ,Jemkin RRQ,xffero RRQ
Foxy9 GEN,1 1 +0,1 0 +1,1 2 -1,1 1 +0,1 0 +1
Munchkin GEN,1 1 +0,3 1 +2,,1 2 -1,
t3xture GEN,2 3 -1,3 2 +1,2 3 -1,3 6 -3,3 5 -2
yoman GEN,0 1 -1,,,1 2 -1,
Karon GEN,0 2 -2,1 0 +1,1 1 +0,0 7 -7,
