,Kushy RRQ,Monyet RRQ,Estrella RRQ,Jemkin RRQ,xffero RRQ
Foxy9 GEN,0 1 -1,1 0 +1,1 1 +0,1 0 +1,
Munchkin GEN,0 1 -1,0 1 -1,,,
t3xture GEN,1 0 +1,0 1 -1,1 1 +0,0 1 -1,2 3 -1
yoman GEN,,,,,
Karon GEN,,,,0 2 -2,
