,Kushy RRQ,Monyet RRQ,Estrella RRQ,Jemkin RRQ,xffero RRQ
Foxy9 GEN,5 4 +1,3 2 +1,4 2 +2,4 4 +0,4 1 +3
Munchkin GEN,2 4 -2,2 4 -2,1 2 -1,2 3 -1,2 0 +2
t3xture GEN,2 2 +0,5 3 +2,4 2 +2,5 3 +2,4 4 +0
yoman GEN,2 3 -1,2 2 +0,1 3 -2,2 1 +1,2 2 +0
Karon GEN,3 2 +1,3 3 +0,4 2 +2,3 2 +1,4 1 +3
