,Kushy RRQ,Monyet RRQ,Estrella RRQ,Jemkin RRQ,xffero RRQ
Foxy9 GEN,2 4 -2,2 3 -1,2 2 +0,4 7 -3,6 3 +3
Munchkin GEN,6 6 +0,4 3 +1,2 4 -2,7 2 +5,2 1 +1
t3xture GEN,4 5 -1,4 1 +3,7 4 +3,4 6 -2,3 2 +1
yoman GEN,0 3 -3,2 1 +1,2 2 +0,1 6 -5,3 4 -1
Karon GEN,4 4 +0,3 0 +3,7 2 +5,3 8 -5,2 2 +0
