,Kushy RRQ,Monyet RRQ,Estrella RRQ,Jemkin RRQ,xffero RRQ
Foxy9 GEN,,,0 1 -1,0 1 -1,1 0 +1
Munchkin GEN,,1 0 +1,,1 1 +0,
t3xture GEN,0 3 -3,2 0 +2,0 1 -1,0 5 -5,1 0 +1
yoman GEN,,,,0 2 -2,
Karon GEN,0 2 -2,1 0 +1,,0 3 -3,
