,Kushy RRQ,Monyet RRQ,Estrella RRQ,Jemkin RRQ,xffero RRQ
Foxy9 GEN,1 0 +1,,,,
Munchkin GEN,1 0 +1,2 0 +2,,0 1 -1,
t3xture GEN,1 0 +1,1 1 +0,1 1 +0,3 0 +3,0 2 -2
yoman GEN,0 1 -1,,,1 0 +1,
Karon GEN,,,1 1 +0,0 2 -2,
