,Dambi NS,Francis NS,Persia NS,margaret NS,Ivy NS
Flashback DRX,1 2 -1,,1 0 +1,1 0 +1,
MaKo DRX,,,1 0 +1,1 1 +0,0 1 -1
HYUNMIN DRX,2 1 +1,2 0 +2,0 1 -1,1 1 +0,
BeYN DRX,1 1 +0,,,,
free1ng DRX,1 0 +1,0 1 -1,1 0 +1,,
