,Dambi NS,Francis NS,Persia NS,margaret NS,Ivy NS
Flashback DRX,3 2 +1,3 7 -4,6 1 +5,2 1 +1,4 2 +2
MaKo DRX,3 5 -2,2 1 +1,4 1 +3,4 4 +0,2 5 -3
HYUNMIN DRX,4 3 +1,4 2 +2,2 4 -2,3 4 -1,4 3 +1
BeYN DRX,4 2 +2,3 5 -2,0 3 -3,3 3 +0,2 2 +0
free1ng DRX,7 4 +3,3 5 -2,3 3 +0,5 2 +3,4 0 +4
