,Dambi NS,Francis NS,Persia NS,margaret NS,Ivy NS
Flashback DRX,9 6 +3,7 15 -8,11 8 +3,6 8 -2,6 7 -1
MaKo DRX,13 9 +4,7 9 -2,10 8 +2,10 11 -1,6 11 -5
HYUNMIN DRX,11 13 -2,13 8 +5,9 8 +1,10 8 +2,15 11 +4
BeYN DRX,10 9 +1,9 9 +0,2 10 -8,5 8 -3,6 7 -1
free1ng DRX,15 7 +8,9 11 -2,11 5 +6,14 12 +2,9 9 +0
