,Dambi NS,Francis NS,Persia NS,margaret NS,Ivy NS
Flashback DRX,4 0 +4,2 2 +0,3 3 +0,3 6 -3,1 2 -1
MaKo DRX,2 2 +0,0 6 -6,4 2 +2,2 1 +1,1 3 -2
HYUNMIN DRX,3 4 -1,5 2 +3,1 3 -2,3 1 +2,4 4 +0
BeYN DRX,3 5 -2,3 1 +2,0 2 -2,0 4 -4,1 1 +0
free1ng DRX,4 0 +4,2 3 -1,2 1 +1,5 5 +0,2 7 -5
