,Dambi NS,Francis NS,Persia NS,margaret NS,Ivy NS
Flashback DRX,,,,,
MaKo DRX,2 1 +1,0 2 -2,,,
HYUNMIN DRX,1 1 +0,1 0 +1,1 0 +1,1 0 +1,1 2 -1
BeYN DRX,0 2 -2,,,,
free1ng DRX,1 0 +1,,1 0 +1,1 1 +0,
