,Dambi NS,Francis NS,Persia NS,margaret NS,Ivy NS
Flashback DRX,1 4 -3,0 1 -1,1 0 +1,1 1 +0,0 1 -1
MaKo DRX,5 1 +4,1 2 -1,2 0 +2,1 2 -1,0 1 -1
HYUNMIN DRX,6 3 +3,3 2 +1,1 1 +0,4 1 +3,3 2 +1
BeYN DRX,1 3 -2,0 1 -1,,,
free1ng DRX,3 0 +3,0 1 -1,2 0 +2,1 2 -1,
