,Dambi NS,Francis NS,Persia NS,margaret NS,Ivy NS
Flashback DRX,0 2 -2,0 1 -1,,0 1 -1,0 1 -1
MaKo DRX,3 0 +3,1 0 +1,1 0 +1,0 1 -1,
HYUNMIN DRX,3 1 +2,0 2 -2,,2 0 +2,2 0 +2
BeYN DRX,,0 1 -1,,,
free1ng DRX,1 0 +1,,,0 1 -1,
