,Okeanos LEV,C0M LEV,tex LEV,Sato LEV,kiNgg LEV
s0m NRG,,,,4 2 +2,1 0 +1
Ethan NRG,1 0 +1,,1 0 +1,0 1 -1,0 1 -1
mada NRG,,2 0 +2,2 0 +2,3 1 +2,3 0 +3
skuba NRG,,,1 1 +0,1 1 +0,1 1 +0
brawk NRG,,,1 0 +1,1 0 +1,
