,Okeanos LEV,C0M LEV,tex LEV,Sato LEV,kiNgg LEV
s0m NRG,,,,1 1 +0,1 0 +1
Ethan NRG,,,,0 1 -1,
mada NRG,,2 0 +2,,2 0 +2,2 0 +2
skuba NRG,,,1 0 +1,0 1 -1,0 1 -1
brawk NRG,,,1 0 +1,1 0 +1,
