,Okeanos LEV,C0M LEV,tex LEV,Sato LEV,kiNgg LEV
s0m NRG,,,,3 1 +2,
Ethan NRG,1 0 +1,,1 0 +1,,0 1 -1
mada NRG,,,2 0 +2,1 1 +0,1 0 +1
skuba NRG,,,0 1 -1,1 0 +1,1 0 +1
brawk NRG,,,,,
