,SUYGETSU KC,Avez KC,saadhak KC,marteen KC,pyrolll KC
crashies FNC,1 4 -3,2 2 +0,4 3 +1,3 1 +2,3 3 +0
Alfajer FNC,3 3 +0,3 2 +1,4 3 +1,4 4 +0,2 1 +1
Chronicle FNC,4 5 -1,3 2 +1,5 1 +4,4 5 -1,3 0 +3
kaajak FNC,2 7 -5,4 2 +2,3 4 -1,3 0 +3,3 1 +2
Boaster FNC,2 5 -3,2 0 +2,2 3 -1,1 3 -2,3 0 +3
