,SUYGETSU KC,Avez KC,saadhak KC,marteen KC,pyrolll KC
crashies FNC,0 1 -1,,,,1 1 +0
Alfajer FNC,,,,2 1 +1,
Chronicle FNC,,1 0 +1,,2 1 +1,
kaajak FNC,2 1 +1,,1 1 +0,1 0 +1,1 0 +1
Boaster FNC,,1 0 +1,0 1 -1,0 2 -2,
