,SUYGETSU KC,Avez KC,saadhak KC,marteen KC,pyrolll KC
crashies FNC,7 13 -6,10 5 +5,11 11 +0,14 8 +6,13 8 +5
Alfajer FNC,11 9 +2,11 9 +2,16 6 +10,13 13 +0,7 13 -6
Chronicle FNC,15 9 +6,9 14 -5,10 5 +5,12 13 -1,17 6 +11
kaajak FNC,6 14 -8,10 12 -2,9 9 +0,10 11 -1,7 7 +0
Boaster FNC,5 13 -8,6 4 +2,10 11 -1,6 11 -5,4 7 -3
