,SUYGETSU KC,Avez KC,saadhak KC,marteen KC,pyrolll KC
crashies FNC,1 4 -3,6 2 +4,2 4 -2,6 1 +5,5 3 +2
Alfajer FNC,5 2 +3,3 3 +0,5 1 +4,3 7 -4,3 6 -3
Chronicle FNC,8 3 +5,3 5 -2,4 2 +2,4 3 +1,9 3 +6
kaajak FNC,3 6 -3,4 4 +0,4 3 +1,4 4 +0,3 4 -1
Boaster FNC,2 5 -3,1 0 +1,4 4 +0,3 3 +0,0 4 -4
