,SUYGETSU KC,Avez KC,saadhak KC,marteen KC,pyrolll KC
crashies FNC,,0 1 -1,0 1 -1,,1 0 +1
Alfajer FNC,1 0 +1,,1 0 +1,0 1 -1,
Chronicle FNC,1 0 +1,,,0 1 -1,1 0 +1
kaajak FNC,1 1 +0,1 2 -1,2 0 +2,1 3 -2,1 2 -1
Boaster FNC,1 0 +1,,0 1 -1,1 0 +1,
