,SUYGETSU KC,Avez KC,saadhak KC,marteen KC,pyrolll KC
crashies FNC,5 5 +0,2 1 +1,5 4 +1,5 6 -1,5 2 +3
Alfajer FNC,3 4 -1,5 4 +1,7 2 +5,6 2 +4,2 6 -4
Chronicle FNC,3 1 +2,3 7 -4,1 2 -1,4 5 -1,5 3 +2
kaajak FNC,1 1 +0,2 6 -4,2 2 +0,3 7 -4,1 2 -1
Boaster FNC,1 3 -2,3 4 -1,4 4 +0,2 5 -3,1 3 -2
