,SUYGETSU KC,Avez KC,saadhak KC,marteen KC,pyrolll KC
crashies FNC,1 1 +0,0 1 -1,2 1 +1,1 1 +0,2 1 +1
Alfajer FNC,1 0 +1,2 0 +2,3 1 +2,4 2 +2,
Chronicle FNC,1 0 +1,2 1 +1,0 1 -1,3 2 +1,1 0 +1
kaajak FNC,3 2 +1,2 3 -1,4 2 +2,3 5 -2,2 2 +0
Boaster FNC,1 0 +1,1 1 +0,1 3 -2,1 2 -1,
