,SUYGETSU KC,Avez KC,saadhak KC,marteen KC,pyrolll KC
crashies FNC,1 0 +1,,2 0 +2,1 1 +0,
Alfajer FNC,,2 0 +2,2 1 +1,2 0 +2,
Chronicle FNC,,1 1 +0,0 1 -1,1 0 +1,
kaajak FNC,,1 1 +0,1 1 +0,1 2 -1,
Boaster FNC,,0 1 -1,1 1 +0,,
