,skuba NRG,mada NRG,brawk NRG,Ethan NRG,s0m NRG
Chronicle FNC,0 6 -6,5 2 +3,2 1 +1,2 1 +1,2 4 -2
Boaster FNC,0 3 -3,1 4 -3,0 2 -2,0 2 -2,2 2 +0
Alfajer FNC,1 2 -1,1 3 -2,4 7 -3,1 2 -1,2 0 +2
kaajak FNC,3 3 +0,3 1 +2,1 0 +1,3 4 -1,0 6 -6
crashies FNC,2 3 -1,1 6 -5,1 2 -1,3 2 +1,5 2 +3
