,skuba NRG,mada NRG,brawk NRG,Ethan NRG,s0m NRG
Chronicle FNC,,4 0 +4,,2 0 +2,
Boaster FNC,0 1 -1,1 2 -1,,,1 1 +0
Alfajer FNC,,3 1 +2,2 1 +1,1 1 +0,
kaajak FNC,2 0 +2,5 2 +3,,2 4 -2,0 1 -1
crashies FNC,1 1 +0,1 2 -1,,1 0 +1,1 0 +1
