,skuba NRG,mada NRG,brawk NRG,Ethan NRG,s0m NRG
Chronicle FNC,3 10 -7,8 5 +3,6 7 -1,7 2 +5,5 6 -1
Boaster FNC,5 6 -1,2 7 -5,3 4 -1,3 5 -2,8 7 +1
Alfajer FNC,2 7 -5,6 6 +0,7 12 -5,5 5 +0,4 5 -1
kaajak FNC,6 6 +0,10 6 +4,7 4 +3,6 9 -3,4 11 -7
crashies FNC,5 10 -5,5 7 -2,3 7 -4,6 5 +1,7 4 +3
