,skuba NRG,mada NRG,brawk NRG,Ethan NRG,s0m NRG
Chronicle FNC,,3 0 +3,,1 0 +1,
Boaster FNC,0 1 -1,1 1 +0,,,0 1 -1
Alfajer FNC,,3 1 +2,1 1 +0,1 0 +1,
kaajak FNC,,4 2 +2,,1 3 -2,
crashies FNC,,1 0 +1,,,
