,skuba NRG,mada NRG,brawk NRG,Ethan NRG,s0m NRG
Chronicle FNC,,1 0 +1,,1 0 +1,
Boaster FNC,,0 1 -1,,,1 0 +1
Alfajer FNC,,,1 0 +1,0 1 -1,
kaajak FNC,2 0 +2,1 0 +1,,1 1 +0,0 1 -1
crashies FNC,1 1 +0,0 2 -2,,1 0 +1,1 0 +1
