,skuba NRG,mada NRG,brawk NRG,Ethan NRG,s0m NRG
Chronicle FNC,3 4 -1,3 3 +0,4 6 -2,5 1 +4,3 2 +1
Boaster FNC,5 3 +2,1 3 -2,3 2 +1,3 3 +0,6 5 +1
Alfajer FNC,1 5 -4,5 3 +2,3 5 -2,4 3 +1,2 5 -3
kaajak FNC,3 3 +0,7 5 +2,6 4 +2,3 5 -2,4 5 -1
crashies FNC,3 7 -4,4 1 +3,2 5 -3,3 3 +0,2 2 +0
