,skuba NRG,mada NRG,brawk NRG,Ethan NRG,s0m NRG
Chronicle FNC,1 0 +1,1 1 +0,,2 0 +2,
Boaster FNC,,,,,
Alfajer FNC,,0 1 -1,,,0 1 -1
kaajak FNC,1 0 +1,1 0 +1,,,
crashies FNC,,,,,
