,PatMen PRX,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX
HYUNMIN DRX,0 2 -2,,2 0 +2,2 0 +2,0 1 -1
free1ng DRX,1 0 +1,3 0 +3,1 1 +0,1 0 +1,1 0 +1
Estrella DRX,0 1 -1,,1 0 +1,0 1 -1,0 1 -1
MaKo DRX,,,,0 2 -2,0 1 -1
BeYN DRX,,,,1 0 +1,0 1 -1
