,PatMen PRX,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX
HYUNMIN DRX,1 3 -2,,4 0 +4,2 1 +1,1 1 +0
free1ng DRX,1 0 +1,3 1 +2,2 2 +0,1 0 +1,1 0 +1
Estrella DRX,0 2 -2,,2 0 +2,0 1 -1,0 1 -1
MaKo DRX,1 0 +1,,,2 4 -2,0 1 -1
BeYN DRX,,,,4 2 +2,0 1 -1
