,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,1 Round 2 Jinggg PatMen,,,,,,,,,33,1,0
MaKo DRX,,1 Round 20 something Jinggg,1 Round 10 PatMen f0rsakeN d4v41,,,,,,,,51,1,0
BeYN DRX,,2 Round 3 f0rsakeN PatMen Round 5 something Jinggg,2 Round 12 something f0rsakeN d4v41 Round 19 f0rsakeN Jinggg something,,,,,,,,53,0,0
Estrella DRX,,3 Round 4 Jinggg d4v41 Round 15 something f0rsakeN Round 20 f0rsakeN PatMen,1 Round 2 f0rsakeN d4v41 something,,,,,,,,31,7,1
HYUNMIN DRX,,4 Round 5 PatMen d4v41 Round 7 f0rsakeN something Round 14 Jinggg something Round 17 something d4v41,,,,,,,,,49,0,0
Jinggg PRX,,2 Round 11 Estrella HYUNMIN Round 21 MaKo BeYN,,,,,,,,,36,0,1
f0rsakeN PRX,,2 Round 5 BeYN HYUNMIN Round 11 free1ng MaKo,1 Round 14 BeYN HYUNMIN MaKo,1 Round 6 MaKo free1ng BeYN Estrella,,1 Round 5 HYUNMIN,,,,,60,6,1
d4v41 PRX,,1 Round 15 Estrella BeYN,1 Round 21 free1ng Estrella HYUNMIN,,,,,,,,62,0,2
PatMen PRX,,2 Round 8 HYUNMIN MaKo Round 14 Estrella free1ng,1 Round 7 free1ng Estrella MaKo,1 Round 17 Estrella free1ng BeYN MaKo,,,,,,,64,0,0
something PRX,,3 Round 16 HYUNMIN BeYN Round 18 HYUNMIN BeYN Round 19 MaKo HYUNMIN,3 Round 3 free1ng MaKo BeYN Round 9 MaKo Estrella free1ng Round 13 BeYN Estrella MaKo,,,,,,,,66,1,0
