,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,0 2 -2,3 6 -3,1 3 -2,1 4 -3,2 0 +2
Monyet RRQ,3 3 +0,0 3 -3,2 6 -4,1 2 -1,2 1 +1
Jemkin RRQ,1 3 -2,4 3 +1,4 6 -2,0 1 -1,0 4 -4
Kushy RRQ,1 3 -2,0 4 -4,4 4 +0,5 1 +4,3 2 +1
xffero RRQ,3 2 +1,3 1 +2,2 5 -3,2 2 +0,2 4 -2
