,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,,0 1 -1,,,
Monyet RRQ,,,0 1 -1,,
Jemkin RRQ,,0 2 -2,1 0 +1,1 1 +0,
Kushy RRQ,,,,0 1 -1,
xffero RRQ,,,,,
