,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,1 3 -2,4 4 +0,2 3 -1,2 4 -2,2 3 -1
Monyet RRQ,3 1 +2,2 5 -3,3 5 -2,1 4 -3,1 1 +0
Jemkin RRQ,2 0 +2,2 7 -5,0 2 -2,2 5 -3,0 2 -2
Kushy RRQ,2 3 -1,1 3 -2,3 3 +0,1 3 -2,0 3 -3
xffero RRQ,2 3 -1,2 2 +0,2 2 +0,0 2 -2,3 6 -3
