,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,1 0 +1,2 4 -2,5 0 +5,0 1 -1,2 3 -1
Monyet RRQ,4 1 +3,3 4 -1,2 2 +0,3 1 +2,4 5 -1
Jemkin RRQ,5 1 +4,5 0 +5,4 2 +2,4 5 -1,1 3 -2
Kushy RRQ,1 1 +0,2 3 -1,1 2 -1,2 3 -1,3 3 +0
xffero RRQ,3 1 +2,3 2 +1,3 2 +1,3 2 +1,2 3 -1
