,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,,0 1 -1,,,
Monyet RRQ,,0 1 -1,0 2 -2,,
Jemkin RRQ,,3 2 +1,3 2 +1,,
Kushy RRQ,,,,,
xffero RRQ,1 0 +1,2 0 +2,0 1 -1,,
