,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,,0 1 -1,,,
Monyet RRQ,,,,,
Jemkin RRQ,,0 2 -2,,0 1 -1,
Kushy RRQ,,,,0 1 -1,
xffero RRQ,,,,,
