,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,,1 2 -1,2 0 +2,,
Monyet RRQ,1 0 +1,0 3 -3,,,
Jemkin RRQ,2 0 +2,,1 0 +1,1 1 +0,
Kushy RRQ,,0 1 -1,,,1 0 +1
xffero RRQ,0 1 -1,,1 0 +1,0 1 -1,
