,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,1 0 +1,1 3 -2,4 0 +4,0 1 -1,
Monyet RRQ,1 0 +1,0 5 -5,0 3 -3,0 2 -2,1 0 +1
Jemkin RRQ,3 0 +3,3 3 +0,4 2 +2,1 2 -1,
Kushy RRQ,,0 3 -3,0 1 -1,,1 0 +1
xffero RRQ,1 2 -1,3 0 +3,2 1 +1,0 1 -1,
