,Boaster FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,crashies FNC
crazyguy RRQ,2 5 -3,9 14 -5,8 6 +2,3 9 -6,6 6 +0
Monyet RRQ,10 5 +5,5 12 -7,7 13 -6,5 7 -2,7 7 +0
Jemkin RRQ,8 4 +4,11 10 +1,8 10 -2,6 11 -5,1 9 -8
Kushy RRQ,4 7 -3,3 10 -7,8 9 -1,8 7 +1,6 8 -2
xffero RRQ,8 6 +2,8 5 +3,7 9 -2,5 6 -1,7 13 -6
