,cortezia MIBR,xenom MIBR,Verno MIBR,aspas MIBR,artzin MIBR
MiniBoo TH,2 2 +0,2 2 +0,1 3 -2,0 5 -5,3 4 -1
benjyfishy TH,1 4 -3,4 3 +1,1 5 -4,3 3 +0,3 3 +0
RieNs TH,2 6 -4,3 2 +1,0 3 -3,5 3 +2,2 2 +0
Boo TH,1 3 -2,0 2 -2,3 4 -1,1 3 -2,1 3 -2
Wo0t TH,2 3 -1,0 4 -4,5 2 +3,1 5 -4,3 3 +0
