,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,2 Round 13 aspas cortezia Round 19 Verno artzin,,,,1 Round 13 cortezia,,,,,26,2,1
RieNs TH,,3 Round 3 aspas xenom Round 8 cortezia artzin Round 12 aspas xenom,1 Round 4 artzin xenom cortezia,,,,,,,,55,3,0
MiniBoo TH,,,1 Round 14 xenom artzin cortezia,,,,,,,,32,0,2
Wo0t TH,,1 Round 13 Verno artzin,1 Round 7 artzin cortezia Verno,,,,,,1 Round 7 cortezia xenom Verno artzin,,40,0,0
benjyfishy TH,,2 Round 1 artzin Verno Round 16 artzin xenom,,1 Round 17 cortezia aspas artzin xenom,,,,,,,41,1,0
cortezia MIBR,,4 Round 7 MiniBoo RieNs Round 9 Boo benjyfishy Round 12 benjyfishy RieNs Round 16 Wo0t benjyfishy,1 Round 13 MiniBoo RieNs Wo0t,,,,,,,,75,2,0
artzin MIBR,,1 Round 7 benjyfishy Boo,1 Round 15 MiniBoo Boo RieNs,,,,,,,,60,0,1
aspas MIBR,,1 Round 17 MiniBoo RieNs,3 Round 10 MiniBoo Boo Wo0t Round 11 Boo RieNs MiniBoo Round 12 Wo0t MiniBoo Boo,,,,,,,,83,0,1
xenom MIBR,,3 Round 2 RieNs MiniBoo Round 6 MiniBoo benjyfishy Round 19 RieNs benjyfishy,,,,,,,,,46,0,0
Verno MIBR,,4 Round 2 Boo benjyfishy Round 9 RieNs MiniBoo Round 17 Wo0t benjyfishy Verno Round 18 Boo MiniBoo,1 Round 5 Boo MiniBoo benjyfishy,,,1 Round 17 benjyfishy,,,,,71,4,1
