,cortezia MIBR,xenom MIBR,Verno MIBR,aspas MIBR,artzin MIBR
MiniBoo TH,6 2 +4,2 4 -2,5 6 -1,1 3 -2,4 4 +0
benjyfishy TH,1 5 -4,1 3 -2,3 3 +0,4 3 +1,2 5 -3
RieNs TH,3 2 +1,5 4 +1,5 1 +4,3 4 -1,2 5 -3
Boo TH,1 3 -2,3 4 -1,2 5 -3,3 4 -1,2 2 +0
Wo0t TH,3 3 +0,5 2 +3,2 4 -2,4 5 -1,2 8 -6
