,cortezia MIBR,xenom MIBR,Verno MIBR,aspas MIBR,artzin MIBR
MiniBoo TH,0 1 -1,0 1 -1,,0 2 -2,0 4 -4
benjyfishy TH,,,,0 1 -1,
RieNs TH,1 0 +1,0 1 -1,,,
Boo TH,0 1 -1,0 1 -1,1 2 -1,0 1 -1,
Wo0t TH,,,2 0 +2,,
